
================================================================================
Inspecting Model: mediq_skin_screening_densenet121.onnx
================================================================================
Node Name                                                    | Op Type         | Output Tensor
functional_1/conv4_block11_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block11_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block11_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block11_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block11_0_relu_1/Relu                     | Relu            | functional_1/conv4_block11_0_relu_1/Relu:0
Conv__789                                                    | Conv            | Conv__789:0
functional_1/conv4_block11_1_relu_1/Relu                     | Relu            | functional_1/conv4_block11_1_relu_1/Relu:0
functional_1/conv4_block11_2_conv_1/convolution              | Conv            | functional_1/conv4_block11_2_conv_1/convolution:0
functional_1/conv4_block11_concat_1/concat                   | Concat          | functional_1/conv4_block11_concat_1/concat:0
functional_1/conv4_block12_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block12_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block12_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block12_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block12_0_relu_1/Relu                     | Relu            | functional_1/conv4_block12_0_relu_1/Relu:0
Conv__799                                                    | Conv            | Conv__799:0
functional_1/conv4_block12_1_relu_1/Relu                     | Relu            | functional_1/conv4_block12_1_relu_1/Relu:0
functional_1/conv4_block12_2_conv_1/convolution              | Conv            | functional_1/conv4_block12_2_conv_1/convolution:0
functional_1/conv4_block12_concat_1/concat                   | Concat          | functional_1/conv4_block12_concat_1/concat:0
functional_1/conv4_block13_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block13_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block13_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block13_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block13_0_relu_1/Relu                     | Relu            | functional_1/conv4_block13_0_relu_1/Relu:0
Conv__809                                                    | Conv            | Conv__809:0
functional_1/conv4_block13_1_relu_1/Relu                     | Relu            | functional_1/conv4_block13_1_relu_1/Relu:0
functional_1/conv4_block13_2_conv_1/convolution              | Conv            | functional_1/conv4_block13_2_conv_1/convolution:0
functional_1/conv4_block13_concat_1/concat                   | Concat          | functional_1/conv4_block13_concat_1/concat:0
functional_1/conv4_block14_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block14_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block14_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block14_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block14_0_relu_1/Relu                     | Relu            | functional_1/conv4_block14_0_relu_1/Relu:0
Conv__819                                                    | Conv            | Conv__819:0
functional_1/conv4_block14_1_relu_1/Relu                     | Relu            | functional_1/conv4_block14_1_relu_1/Relu:0
functional_1/conv4_block14_2_conv_1/convolution              | Conv            | functional_1/conv4_block14_2_conv_1/convolution:0
functional_1/conv4_block14_concat_1/concat                   | Concat          | functional_1/conv4_block14_concat_1/concat:0
functional_1/conv4_block15_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block15_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block15_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block15_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block15_0_relu_1/Relu                     | Relu            | functional_1/conv4_block15_0_relu_1/Relu:0
Conv__829                                                    | Conv            | Conv__829:0
functional_1/conv4_block15_1_relu_1/Relu                     | Relu            | functional_1/conv4_block15_1_relu_1/Relu:0
functional_1/conv4_block15_2_conv_1/convolution              | Conv            | functional_1/conv4_block15_2_conv_1/convolution:0
functional_1/conv4_block15_concat_1/concat                   | Concat          | functional_1/conv4_block15_concat_1/concat:0
functional_1/conv4_block16_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block16_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block16_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block16_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block16_0_relu_1/Relu                     | Relu            | functional_1/conv4_block16_0_relu_1/Relu:0
Conv__839                                                    | Conv            | Conv__839:0
functional_1/conv4_block16_1_relu_1/Relu                     | Relu            | functional_1/conv4_block16_1_relu_1/Relu:0
functional_1/conv4_block16_2_conv_1/convolution              | Conv            | functional_1/conv4_block16_2_conv_1/convolution:0
functional_1/conv4_block16_concat_1/concat                   | Concat          | functional_1/conv4_block16_concat_1/concat:0
functional_1/conv4_block17_0_bn_1/batchnorm/mul_1            | Mul             | functional_1/conv4_block17_0_bn_1/batchnorm/mul_1:0
functional_1/conv4_block17_0_bn_1/batchnorm/add_1            | Add             | functional_1/conv4_block17_0_bn_1/batchnorm/add_1:0
functional_1/conv4_block17_0_relu_1/Relu                     | Relu            | functional_1/conv4_block17_0_relu_1/Relu:0
Conv__849                                                    | Conv            | Conv__849:0
functional_1/conv4_block17_1_relu_1/Relu                     | Relu            | functional_1/conv4_block17_1_relu_1/Relu:0
functional_1/conv4_block17_2_conv_1/convolution              | Conv            | functional_1/conv4_block17_2_conv_1/convolution:0
functional_1/conv4_block17_concat_1/concat                   | Concat          | functional_1/conv4_block17_concat_1/concat:0
